"","Age","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeCount","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","Over18","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Attrition"
"403",30,"Travel_Rarely",1082,"Sales",12,3,"Technical Degree",1,533,2,"Female",83,3,2,"Sales Executive",3,"Single",6577,19558,0,"Y","No",11,3,2,80,0,6,6,3,5,4,4,4,"0"
"874",36,"Travel_Rarely",917,"Research & Development",6,4,"Life Sciences",1,1221,3,"Male",60,1,1,"Laboratory Technician",3,"Divorced",2741,6865,1,"Y","No",14,3,3,80,1,7,4,3,7,7,1,7,"0"
"1881",34,"Travel_Rarely",330.083560790634,"Research & Development",6,1.91542540746741,"Medical",1,510.682913512923,3.83085081493482,"Female",37.2287296266295,1.16914918506518,1,"Sales Representative",2.83085081493482,"Divorced",2402.50592685235,12663.1021991905,0.16914918506518,"Y","No",15.577127037337,3,3.91542540746741,80,0.91542540746741,3.42287296266295,2.91542540746741,2.08457459253259,2.16914918506518,2,1,0.25372377759777,"1"
"570",36,"Non-Travel",1434,"Sales",8,4,"Life Sciences",1,789,1,"Male",76,2,3,"Sales Executive",1,"Single",7587,14229,1,"Y","No",15,3,2,80,0,10,1,3,10,7,0,9,"0"
"582",30,"Travel_Rarely",921,"Research & Development",1,3,"Life Sciences",1,806,4,"Male",38,1,1,"Laboratory Technician",3,"Married",3833,24375,3,"Y","No",21,4,3,80,2,7,2,3,2,2,0,2,"0"
"1631",34.6019209956285,"Travel_Rarely",651.190275204368,"Research & Development",5.82802257267758,1.17197742732242,"Marketing",1,70.2968421431724,1.91401128633879,"Male",80.6783047311474,3,1.08598871366121,"Research Scientist",1.08598871366121,"Single",3509.89782386343,16453.3011441398,1.91401128633879,"Y","No",11.6019209956285,3,3,80,0,8,2.25796614098363,3,4.34395485464483,2.42994356830604,1.51593228196725,3.34395485464483,"1"
"1641",31.3699314279947,"Travel_Frequently",113.369019778445,"Sales",18.8154901107773,3,"Life Sciences",1,140.576756902272,2.48154901107773,"Male",51.5553529667668,2.25922549446113,1.25922549446113,"Sales Executive",2.74077450553887,"Single",3927.34519791673,12068.4847992712,3.96309802215546,"Y","Yes",15.0369019778445,3,2.25922549446113,80,0,6.51845098892227,4.25922549446113,3,5.03690197784454,3.29612747230567,1.81457846122794,4.03690197784454,"1"
"1084",40,"Travel_Rarely",676,"Research & Development",9,4,"Life Sciences",1,1534,4,"Male",86,3,1,"Laboratory Technician",1,"Single",2018,21831,3,"Y","No",14,3,2,80,0,15,3,1,5,4,1,0,"1"
"548",42,"Travel_Frequently",933,"Research & Development",19,3,"Medical",1,752,3,"Male",57,4,1,"Research Scientist",3,"Divorced",2759,20366,6,"Y","Yes",12,3,4,80,0,7,2,3,2,2,2,2,"1"
"198.1",42,"Non-Travel",926,"Research & Development",21,2,"Medical",1,270,3,"Female",36,3,2,"Manufacturing Director",3,"Divorced",5265,16439,2,"Y","No",16,3,2,80,1,11,5,3,5,3,0,2,"0"
"5311",34,"Travel_Rarely",1097.85217545368,"Human Resources",8.93273658421822,3.93273658421822,"Medical",1,1434.80324497912,1.02242113859393,"Male",52.6950552964117,3,1,"Research Scientist",2.95515772281215,"Married",2746.88780821348,3386.5685744728,1.02242113859393,"Y","No",14.9103154456243,3,3.97757886140607,80,0,2.13452683156356,0.0448422771878541,3,2.04484227718785,2,1.97757886140607,2.02242113859393,"1"
"100",33.4135734150186,"Travel_Rarely",743.861633751076,"Research & Development",5.56018006126396,1.29321329249069,"Technical Degree",1,69.9973679012619,2.29321329249069,"Female",83.7330332312267,3,1,"Research Scientist",1,"Single",2915.57818618766,15849.0996011873,2.43981993873604,"Y","No",11,3,3,80,0,8,2.43981993873604,3,4.14660664624535,2,0.853393353754655,3.14660664624535,"1"
"131",33.7437707132194,"Non-Travel",1071.64061617549,"Research & Development",17.5112679514568,1.34875414264388,"Life Sciences",1,72.8742236422841,1.88374861911871,"Male",73.8600220941007,1.23250276176259,1.23250276176259,"Manager",1.11625138088129,"Single",4840.87345038867,5330.49646498379,1,"Y","Yes",20.8374861911871,3.88374861911871,2.23250276176259,80,0.116251380881295,10,4.65124585735612,2.88374861911871,10,2.58125690440647,6.34875414264388,7.23250276176259,"1"
"1443",29,"Travel_Rarely",1092,"Research & Development",1,4,"Medical",1,2027,1,"Male",36,3,1,"Research Scientist",4,"Married",4787,26124,9,"Y","Yes",14,3,2,80,3,4,3,4,2,2,2,2,"1"
"1201",28.3584976196289,"Travel_Rarely",139.925254821777,"Research & Development",21.9386386871338,3,"Life Sciences",1,46.9628143310547,3.08962440490723,"Male",51.0754928588867,2,1,"Laboratory Technician",3,"Single",2180.5407371521,12644.4280090332,4.55187797546387,"Y","Yes",14,3,2.17924880981445,80,0,5.82075119018555,3.82075119018555,2.82075119018555,3.91037559509277,2,0.0896244049072266,2.91037559509277,"1"
"1030",40,"Non-Travel",663,"Research & Development",9,4,"Other",1,1449,3,"Male",81,3,2,"Laboratory Technician",3,"Divorced",3975,23099,3,"Y","No",11,3,3,80,2,11,2,4,8,7,0,7,"0"
"746.1",55,"Travel_Frequently",135,"Research & Development",18,4,"Medical",1,1034,3,"Male",62,3,2,"Healthcare Representative",2,"Married",6385,12992,3,"Y","Yes",14,3,4,80,2,17,3,3,8,7,6,7,"0"
"790",44,"Travel_Rarely",1376,"Human Resources",1,2,"Medical",1,1098,2,"Male",91,2,3,"Human Resources",1,"Married",10482,2326,9,"Y","No",14,3,4,80,1,24,1,3,20,6,3,6,"1"
"218",29,"Travel_Rarely",992,"Research & Development",1,3,"Technical Degree",1,300,3,"Male",85,3,1,"Research Scientist",3,"Single",2058,19757,0,"Y","No",14,3,4,80,0,7,1,2,6,2,1,5,"1"
"108",25,"Travel_Rarely",240,"Sales",5,3,"Marketing",1,142,3,"Male",46,2,2,"Sales Executive",3,"Single",5744,26959,1,"Y","Yes",11,3,4,80,0,6,1,3,6,4,0,3,"1"
"34",39,"Travel_Rarely",895,"Sales",5,3,"Technical Degree",1,42,4,"Male",56,3,2,"Sales Representative",4,"Married",2086,3335,3,"Y","No",14,3,3,80,1,19,6,4,1,0,0,0,"1"
"5531",32.4646738355514,"Travel_Frequently",628.374996435363,"Research & Development",4.46467383555137,2.02355077629909,"Medical",1,801.733734553214,3.02355077629909,"Female",57.4112305925228,3,1,"Research Scientist",2.02355077629909,"Single",3535.23553628009,10476.555825016,1.48822461185046,"Y","No",11.5117753881495,3,1.97644922370091,80,0,7.48822461185046,2,1.97644922370091,5.53532616444863,2,4.07065232889727,5.04710155259818,"1"
"96",54,"Travel_Rarely",1217,"Research & Development",2,4,"Technical Degree",1,126,1,"Female",60,3,3,"Research Director",3,"Married",13549,24001,9,"Y","No",12,3,1,80,1,16,5,1,4,3,0,3,"0"
"4731",39.4472594270483,"Travel_Rarely",425.992146635661,"Sales",22.7890377081931,4,"Life Sciences",1,1139.60298007983,3.86181485676207,"Male",60.4546285809483,2,2.72362971352413,"Sales Executive",1.86181485676207,"Single",8308.14109040587,15818.7404669544,2.69092571618967,"Y","No",13.5200365756173,3.13818514323793,2.86181485676207,80,0,9.13818514323793,2.27637028647587,3,5,3.86181485676207,0.861814856762066,0.414555429713801,"1"
"181",31,"Travel_Rarely",140,"Research & Development",12,1,"Medical",1,246,3,"Female",95,3,1,"Research Scientist",4,"Married",3929,6984,8,"Y","Yes",23,4,3,80,1,7,0,3,4,2,0,2,"0"
"699.1",35,"Travel_Rarely",1219,"Sales",18,3,"Medical",1,975,3,"Female",86,3,2,"Sales Executive",3,"Married",4601,6179,1,"Y","No",16,3,2,80,0,5,3,3,5,2,1,0,"0"
"244",40,"Travel_Rarely",1300,"Research & Development",24,2,"Technical Degree",1,335,1,"Male",62,3,2,"Research Scientist",4,"Divorced",3319,24447,1,"Y","No",17,3,1,80,2,9,3,3,9,8,4,7,"0"
"433",33.0369574273936,"Travel_Rarely",1148.28440768784,"Sales",15.3401180007495,1.18853771407157,"Marketing",1,141.880529876333,1.90573114296421,"Female",73.2254951414652,1,1.09426885703579,"Sales Executive",1.18853771407157,"Single",4053.52165899007,5134.24466462806,1.6598819992505,"Y","Yes",21.1515802866779,3.90573114296421,2,80,0,9.71719342889264,4.71719342889264,2.90573114296421,9.43438685778528,2.09426885703579,5.52865571482107,6.62292457185686,"1"
"159",40,"Travel_Rarely",630,"Sales",4,4,"Marketing",1,215,3,"Male",67,2,3,"Sales Executive",4,"Married",10855,8552,7,"Y","No",11,3,1,80,1,15,2,2,12,11,2,11,"0"
"1377.1",38,"Travel_Rarely",1206,"Research & Development",9,2,"Life Sciences",1,1940,2,"Male",71,3,1,"Research Scientist",4,"Divorced",4771,14293,2,"Y","No",19,3,4,80,2,10,0,4,5,2,0,3,"0"
"5301",34.1069578181487,"Travel_Rarely",1116.48359320918,"Human Resources",8.75043175765313,3.92869478790089,"Technical Degree",1,1414.8402373495,1.10695781814866,"Male",53.4261042419821,2.96434739395045,1,"Human Resources",3,"Single",2718.75450085569,3047.8988383105,1.17826303024776,"Y","Yes",15,3,3.92869478790089,80,0,2.17826303024776,0.106957818148658,3,1.92869478790089,1.92869478790089,1.92869478790089,1.92869478790089,"1"
"5101",32.8640490127727,"Travel_Rarely",886.336433836259,"Sales",1.31067483546212,3.37865032907575,"Life Sciences",1,984.909709137399,2.62134967092425,"Female",63.0483430894092,1.31067483546212,1,"Laboratory Technician",3,"Single",1586.10330472281,11879.7356137121,2.55337417731062,"Y","Yes",12.9320245063864,3,2,80,0,2.86404901277274,3,3,0.689325164537877,0,0,0,"1"
"6711",29.7180740367621,"Non-Travel",350.402661293745,"Research & Development",21.7092346176505,3.28634567279369,"Technical Degree",1,559.047938888893,3.28634567279369,"Male",60.022098547779,1.71365432720631,1,"Laboratory Technician",2.42730865441263,"Married",2107.89044270944,13380.2410029368,3.85461730882525,"Y","Yes",16.5771110551432,3.28634567279369,2,80,0.286345672793686,5.71365432720631,3.42730865441263,3,4.28634567279369,2,0.859037018381059,2.14096298161894,"1"
"1432.2",32,"Travel_Rarely",801,"Sales",1,4,"Marketing",1,2016,3,"Female",48,3,3,"Sales Executive",4,"Married",10422,24032,1,"Y","No",19,3,3,80,2,14,3,3,14,10,5,7,"0"
"1288.1",42,"Travel_Rarely",1128,"Research & Development",13,3,"Medical",1,1803,2,"Male",95,4,2,"Healthcare Representative",1,"Married",5538,5696,5,"Y","No",18,3,3,80,2,10,2,2,0,0,0,0,"0"
"392.1",40,"Travel_Rarely",555,"Research & Development",2,3,"Medical",1,521,2,"Female",78,2,2,"Laboratory Technician",3,"Married",3448,13436,6,"Y","No",22,4,2,80,1,20,3,3,1,0,0,0,"0"
"1073.1",29,"Travel_Frequently",410,"Research & Development",2,1,"Life Sciences",1,1513,4,"Female",97,3,1,"Laboratory Technician",2,"Married",3180,4668,0,"Y","No",13,3,3,80,3,4,3,3,3,2,0,2,"0"
"627.1",32,"Travel_Rarely",638,"Research & Development",8,2,"Medical",1,865,3,"Female",91,4,2,"Research Scientist",3,"Married",5175,22162,5,"Y","No",12,3,3,80,1,9,3,2,5,3,1,3,"0"
"1164.1",37,"Travel_Rarely",1470,"Research & Development",10,3,"Medical",1,1640,2,"Female",71,3,1,"Research Scientist",2,"Married",3936,9953,1,"Y","No",11,3,1,80,1,8,2,1,8,4,7,7,"0"
"4891",52.0664649184328,"Travel_Frequently",376.433613042813,"Research & Development",13.3826350106392,3.61736498936079,"Life Sciences",1,1201.21724025137,1.1275450035464,"Female",83.3419149538968,3.61736498936079,3.61736498936079,"Research Scientist",2.7449099929072,"Single",12448.1200453304,8690.80316370074,5.36227498226799,"Y","Yes",17.637725017732,3.1275450035464,2.8724549964536,80,0,22.2143699503504,2.38263501063921,2.1275450035464,17.8520949680824,6.36227498226799,3.38263501063921,7.8724549964536,"1"
"531",27,"Travel_Rarely",608,"Research & Development",1,2,"Life Sciences",1,725,3,"Female",68,3,3,"Manufacturing Director",1,"Married",7412,6009,1,"Y","No",11,3,4,80,0,9,3,3,9,7,0,7,"0"
"6391",33.7759792823344,"Travel_Frequently",333.801229720004,"Research & Development",9.78407251182944,3.66396892350167,"Life Sciences",1,1608.29362343065,3.77597928233445,"Male",90.6477824645117,2.77597928233445,1.88798964116722,"Laboratory Technician",1,"Single",5186.16121794563,6036.96018206235,3.66396892350167,"Y","No",17.5600517941639,3.11201035883278,2.88798964116722,80,0.887989641167223,10.8879896411672,3.22402071766555,2.11201035883278,7.33603107649833,1.11201035883278,0.672062152996659,7,"1"
"368",36,"Travel_Rarely",1004.74044359475,"Research & Development",13.4829336181283,4,"Life Sciences",1,677.025374628603,3,"Female",57.0236555561423,3.28083817660809,1,"Laboratory Technician",1,"Single",2981.76172536612,7807.65769029409,3.15748547017574,"Y","No",18.5170663818717,3.35958091169596,2.64041908830404,80,0,15.1233527064323,2.07874273508787,3,12.6850290596485,9.40419088304043,9.60628632456064,10.0446099713445,"1"
"5761",35.4514078695793,"Travel_Rarely",954.127185267629,"Sales",9.54859213042073,3.45140786957927,"Life Sciences",1,911.330514238216,3.54859213042073,"Male",67.1880124786403,2,2.09718426084146,"Sales Executive",1,"Single",7191.73710777261,14964.7239448391,8.09718426084146,"Y","No",19.7084472174756,3.45140786957927,2.54859213042073,80,0,12.7429606521036,3.45140786957927,3,9.38873704336584,7.93732917378657,3.29155278252438,1.35422360873781,"1"
"6.3",32,"Travel_Frequently",1005,"Research & Development",2,2,"Life Sciences",1,8,4,"Male",79,3,1,"Laboratory Technician",4,"Single",3068,11864,0,"Y","No",13,3,3,80,0,8,2,2,7,7,3,6,"0"
"425",29.0357806496322,"Travel_Rarely",410.082433808595,"Research & Development",22.8783457912505,1,"Life Sciences",1,1156.88494866341,3.98568774014711,"Female",45.2719329372048,2.00715612992644,2.98568774014711,"Research Scientist",1,"Single",7304.68477544188,11204.5074117631,1.00715612992644,"Y","No",12.9856877401471,3,1.01431225985289,80,0.992843870073557,10.9785316102207,2.99284387007356,1.01431225985289,10.9499070905149,7.95706322044134,2.98568774014711,9.9499070905149,"1"
"1381",35,"Travel_Rarely",682,"Sales",18,4,"Medical",1,1945,2,"Male",71,3,2,"Sales Executive",1,"Married",5561,15975,0,"Y","No",16,3,4,80,1,6,2,1,5,3,0,4,"0"
"1058",29,"Travel_Frequently",115,"Sales",13,3,"Technical Degree",1,1487,1,"Female",51,3,2,"Sales Executive",2,"Single",5765,17485,5,"Y","No",11,3,1,80,0,7,4,1,5,3,0,0,"1"
"1348",36,"Travel_Frequently",1213,"Human Resources",2,1,"Human Resources",1,1890,2,"Male",94,2,2,"Human Resources",4,"Single",3886,4223,1,"Y","No",21,4,4,80,0,10,2,2,10,1,0,8,"0"
"83.1",55,"Travel_Rarely",111,"Sales",1,2,"Life Sciences",1,106,1,"Male",70,3,3,"Sales Executive",4,"Married",10239,18092,3,"Y","No",14,3,4,80,1,24,4,3,1,0,1,0,"0"
"3971",33.1356831777375,"Travel_Rarely",1218.26039243839,"Sales",7.69803780806251,3.21882268483751,"Life Sciences",1,307.963441020111,3.2603924383875,"Male",68.9803780806251,2.2603924383875,1,"Sales Representative",1.78117731516249,"Single",3480.95145250205,6366.00560419937,5.43764536967501,"Y","No",20.9168604929,3.7396075616125,2,80,0.260392438387498,9.21882268483751,3.7396075616125,3.2603924383875,5.520784876775,4.04156975354999,1.30196219193749,3.78117731516249,"1"
"1144",45,"Non-Travel",336,"Sales",26,3,"Marketing",1,1612,1,"Male",52,2,2,"Sales Executive",1,"Married",4385,24162,1,"Y","No",15,3,1,80,1,10,2,3,10,7,4,5,"0"
"549",43,"Travel_Frequently",775,"Sales",15,3,"Life Sciences",1,754,4,"Male",47,2,2,"Sales Executive",4,"Married",6804,23683,3,"Y","No",18,3,3,80,1,7,5,3,2,2,2,2,"0"
"293.1",31,"Travel_Frequently",444,"Sales",5,3,"Marketing",1,399,4,"Female",84,3,1,"Sales Representative",2,"Divorced",2789,3909,1,"Y","No",11,3,3,80,1,2,5,2,2,2,2,2,"0"
"914",45,"Travel_Rarely",1449,"Sales",2,3,"Marketing",1,1277,1,"Female",94,1,5,"Manager",2,"Single",18824,2493,2,"Y","Yes",16,3,1,80,0,26,2,3,24,10,1,11,"1"
"109.1",25,"Travel_Rarely",1280,"Research & Development",7,1,"Medical",1,143,4,"Male",64,2,1,"Research Scientist",4,"Married",2889,26897,1,"Y","No",11,3,3,80,2,2,2,3,2,2,2,1,"0"
"3001",32,"Travel_Rarely",807.352662924677,"Research & Development",19.8066924549639,2.26889748498797,"Life Sciences",1,404.363997273147,1.57703417167068,"Female",78.3444874249399,1.84593165665865,1,"Research Scientist",2.26889748498797,"Single",3443.58640895784,10321.2493207715,1,"Y","Yes",22.8459316566586,4,2.42296582832932,80,0,6.19330754503608,3.73110251501203,2.15406834334135,6.19330754503608,1.15406834334135,3.46220503002405,4.46220503002405,"1"
"665",36,"Travel_Rarely",1425,"Research & Development",14,1,"Life Sciences",1,924,3,"Male",68,3,2,"Healthcare Representative",4,"Married",6586,4821,0,"Y","Yes",17,3,1,80,1,17,2,2,16,8,4,11,"0"
"506",28.8901682791766,"Travel_Rarely",311.299377327319,"Research & Development",15.0983172082342,1.21966344164684,"Other",1,1267.01592740556,3,"Female",80.2657214920036,2.89016827917658,2.78033655835316,"Laboratory Technician",3.89016827917658,"Single",6946.17974245059,21833.5499310198,0.54915860411711,"Y","Yes",12.2196634416468,3,1.10983172082342,80,0,8.67050483752973,1.32949516247027,3,7.56067311670631,6.45084139588289,6.23117795423605,6.56067311670631,"1"
"1381.1",35,"Travel_Rarely",682,"Sales",18,4,"Medical",1,1945,2,"Male",71,3,2,"Sales Executive",1,"Married",5561,15975,0,"Y","No",16,3,4,80,1,6,2,1,5,3,0,4,"0"
"957",56,"Travel_Rarely",206,"Human Resources",8,4,"Life Sciences",1,1338,4,"Male",99,3,5,"Manager",2,"Single",19717,4022,6,"Y","No",14,3,1,80,0,36,4,3,7,3,7,7,"0"
"1162",38,"Travel_Rarely",397,"Research & Development",2,2,"Medical",1,1638,4,"Female",54,2,3,"Manufacturing Director",3,"Married",7756,14199,3,"Y","Yes",19,3,4,80,1,10,6,4,5,4,0,2,"0"
"556.1",29,"Travel_Rarely",1090,"Sales",10,3,"Marketing",1,766,4,"Male",83,3,1,"Sales Representative",2,"Divorced",2297,17967,1,"Y","No",14,3,4,80,2,2,2,3,2,2,2,2,"0"
"1453",50,"Travel_Frequently",878,"Sales",1,4,"Life Sciences",1,2044,2,"Male",94,3,2,"Sales Executive",3,"Divorced",6728,14255,7,"Y","No",12,3,4,80,2,12,3,3,6,3,0,1,"1"
"860.1",29,"Travel_Rarely",942,"Research & Development",15,1,"Life Sciences",1,1202,2,"Female",69,1,1,"Research Scientist",4,"Married",2168,26933,0,"Y","Yes",18,3,1,80,1,6,2,2,5,4,1,3,"0"
"1053.2",30,"Non-Travel",990,"Research & Development",7,3,"Technical Degree",1,1482,3,"Male",64,3,1,"Research Scientist",3,"Divorced",1274,7152,1,"Y","No",13,3,2,80,2,1,2,2,1,0,0,0,"0"
"720",47,"Travel_Rarely",955,"Sales",4,2,"Life Sciences",1,1003,4,"Female",83,3,2,"Sales Executive",4,"Single",4163,8571,1,"Y","Yes",17,3,3,80,0,9,0,3,9,0,0,7,"0"
"2061",34,"Travel_Frequently",781.258611637866,"Research & Development",10.8387418610509,1.56926374835894,"Human Resources",1,190.109217666322,2,"Female",71.6147250328213,3,1.56926374835894,"Research Scientist",1,"Single",4949.57680051448,15516.8850926945,3.99242311925627,"Y","No",12.1385274967179,3,3,80,0.853895622538403,8.8538956225384,2,3,3.71536812582053,2,0.715368125820532,2.71536812582053,"1"
"390",37,"Travel_Rarely",1305,"Research & Development",10,4,"Life Sciences",1,518,3,"Male",49,3,2,"Manufacturing Director",2,"Single",4197,21123,2,"Y","Yes",12,3,4,80,0,18,2,2,1,0,0,1,"0"
"570.1",36,"Non-Travel",1434,"Sales",8,4,"Life Sciences",1,789,1,"Male",76,2,3,"Sales Executive",1,"Single",7587,14229,1,"Y","No",15,3,2,80,0,10,1,3,10,7,0,9,"0"
"236.1",43,"Travel_Rarely",1034,"Sales",16,3,"Marketing",1,327,4,"Female",80,3,4,"Manager",4,"Married",16064,7744,5,"Y","Yes",22,4,3,80,1,22,3,3,17,13,1,9,"0"
"1010",34.0616930355318,"Travel_Rarely",715.009342720499,"Sales",6.09253955329768,1.09253955329768,"Life Sciences",1,30.8766139289364,2.03084651776589,"Male",82.9691534822341,2.96915348223411,1,"Research Scientist",1,"Single",2973.78839344135,16789.9566262802,2.15423258882947,"Y","No",11.3701582131907,3.03084651776589,2.96915348223411,80,0,8.06169303553179,2.06169303553179,3,4.03084651776589,2.03084651776589,0.969153482234105,3,"1"
"655",39,"Travel_Rarely",1383,"Human Resources",2,3,"Life Sciences",1,909,4,"Female",42,2,2,"Human Resources",4,"Married",5204,7790,8,"Y","No",11,3,3,80,2,13,2,3,5,4,0,4,"0"
"787",27,"Non-Travel",1277,"Research & Development",8,5,"Life Sciences",1,1094,1,"Male",87,1,1,"Laboratory Technician",3,"Married",4621,5869,1,"Y","No",19,3,4,80,3,3,4,3,3,2,1,2,"0"
"1302",58,"Non-Travel",350,"Sales",2,3,"Medical",1,1824,2,"Male",52,3,4,"Manager",2,"Divorced",16291,22577,4,"Y","No",22,4,4,80,1,37,0,2,16,9,14,14,"0"
"6351",36.4748414028436,"Travel_Rarely",1092.04015052132,"Sales",8.56448246445507,2.2625792985782,"Life Sciences",1,474.804682350717,3.7374207014218,"Male",89.8993656113744,2.2625792985782,1.2625792985782,"Sales Executive",3.2625792985782,"Single",3067.58272860665,5309.57989702374,4.68710350710899,"Y","Yes",15.7877378957346,3,2.52515859715641,80,0,7.78773789573461,2.7374207014218,3,2.62579298578203,1.83805509004742,1.83805509004742,1.83805509004742,"1"
"2721",28.0567193422467,"Travel_Rarely",142.816978257149,"Research & Development",22.695455128327,2.94328065775335,"Life Sciences",1,64.2053157705814,2.94328065775335,"Male",49.2059292085469,2,1,"Laboratory Technician",2.8865613155067,"Single",2044.50532859378,12592.0503562205,4.77312263101339,"Y","Yes",13.82984197326,3,2.1134386844933,80,0.0567193422466516,5.71640328876674,3.82984197326005,3,3.82984197326005,1.8865613155067,0,2.82984197326005,"1"
"294",26,"Travel_Rarely",950,"Sales",4,4,"Marketing",1,401,4,"Male",48,2,2,"Sales Executive",4,"Single",5828,8450,1,"Y","Yes",12,3,2,80,0,8,0,3,8,7,7,4,"1"
"640",31.3173544479068,"Travel_Rarely",201.414848621236,"Research & Development",18.8396708588116,3.36859493865632,"Life Sciences",1,678.784940194804,3.36859493865632,"Male",52.9487595092505,2.36859493865632,1.36859493865632,"Manufacturing Director",2.26281012268737,"Single",2833.37994096405,10014.827262989,3.52562024537474,"Y","Yes",14.3685949386563,3,2,80,0,7.47437975462526,4,2.26281012268737,6.21156963193789,2.36859493865632,0,4.84297469328158,"1"
"1382",30.0858949609101,"Travel_Rarely",1420.77018027008,"Research & Development",10.7997700497508,3.25711000710726,"Other",1,249.136451385915,2.11433498933911,"Male",62.4579148329794,2.62855500355363,1,"Laboratory Technician",2.37144499644637,"Single",2267.88106600568,9802.89216187596,3.48577998578548,"Y","Yes",13.7428899928927,3,3.25711000710726,80,0.628555003553629,5.74288999289274,2.37144499644637,3,1.88566501066089,1.25711000710726,0,1.25711000710726,"1"
